id,rank,title,score,genre,episodes,members,rating
45040,20007,b'Tai Yi Xian Mo Lu: Ling Fei Ji III',,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']",26,292,"{10: 4, 9: 2, 8: 3, 7: 11, 6: 8, 5: 5, 4: 4, 3: 3, 2: 2, 1: 7}"
48873,20008,b'Tai Yi Xian Mo Lu: Ling Fei Ji IV',,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']",12,368,"{10: 9, 9: 0, 8: 4, 7: 7, 6: 8, 5: 2, 4: 4, 3: 3, 2: 3, 1: 7}"
48645,20009,b'Taiban!',,"['Music', 'School']",7,457,"{10: 7, 9: 3, 8: 0, 7: 7, 6: 8, 5: 8, 4: 11, 3: 7, 2: 7, 1: 3}"
47468,20010,b'Taichi  Xiongmao',,"['Adventure', 'Fantasy']",10,55,"{10: 0, 9: 0, 8: 0, 7: 0, 6: 3, 5: 0, 4: 0, 3: 0, 2: 0, 1: 2}"
54108,20011,b'Taifuu 14-gou',,['Slice of Life'],1,63,"{10: 0, 9: 0, 8: 1, 7: 7, 6: 12, 5: 4, 4: 0, 3: 1, 2: 0, 1: 3}"
46741,20012,b'Taigong Qi Shu',,['Kids'],26,65,"{10: 2, 9: 0, 8: 0, 7: 0, 6: 3, 5: 0, 4: 0, 3: 0, 2: 0, 1: 3}"
18629,20013,b'Taiheiyou ni Kakeru Niji',,"['Drama', 'Slice of Life', 'Kids']",1,336,"{10: 5, 9: 0, 8: 2, 7: 14, 6: 6, 5: 19, 4: 12, 3: 6, 2: 0, 1: 8}"
47977,20014,b'Taihu Shaonian',,"['Sci-Fi', 'Kids']",13,84,"{10: 2, 9: 0, 8: 0, 7: 1, 6: 0, 5: 1, 4: 0, 3: 0, 2: 0, 1: 2}"
46709,20015,b'Taiji Kedou Chengzhang Ji: Baishi Xi Wu Pian',,['Kids'],52,37,"{10: 1, 9: 0, 8: 0, 7: 0, 6: 0, 5: 0, 4: 0, 3: 0, 2: 0, 1: 1}"
47774,20016,b'Taiji Xiao Zi',,"['Martial Arts', 'Kids']",26,64,"{10: 1, 9: 0, 8: 0, 7: 0, 6: 2, 5: 0, 4: 0, 3: 2, 2: 0, 1: 4}"
50388,20017,b'Taiko no Tatsujin Anime Ba-Jon!',,"['Comedy', 'Music', 'Kids']",?,230,"{10: 1, 9: 0, 8: 0, 7: 2, 6: 3, 5: 4, 4: 1, 3: 1, 2: 2, 1: 0}"
35138,20018,b'Taikong Lixianji',,"['Action', 'Sci-Fi', 'Mecha', 'Kids']",26,424,"{10: 7, 9: 4, 8: 1, 7: 4, 6: 3, 5: 9, 4: 5, 3: 2, 2: 3, 1: 4}"
45876,20019,b'Taikong Tejing',,['Kids'],26,40,"{10: 1, 9: 0, 8: 0, 7: 0, 6: 2, 5: 0, 4: 1, 3: 0, 2: 0, 1: 1}"
48260,20020,b'Taikong Xiha Zu',,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",26,128,"{10: 3, 9: 0, 8: 0, 7: 2, 6: 1, 5: 0, 4: 1, 3: 2, 2: 1, 1: 3}"
