id,rank,title,score,genre,episodes,members,rating
48749,15002,b'Chao Shen Xueyuan: Shen yu Shen',N/A,"['Action', 'Sci-Fi']",10,216,"{10: 4, 9: 1, 8: 5, 7: 12, 6: 6, 5: 2, 4: 2, 3: 3, 2: 3, 1: 5}"
48750,15003,b'Chao Shen Xueyuan: Zhi Hei Jia',N/A,"['Action', 'Sci-Fi']",10,245,"{10: 5, 9: 1, 8: 5, 7: 12, 6: 8, 5: 4, 4: 2, 3: 1, 2: 3, 1: 9}"
48749,15002,b'Chao Shen Xueyuan: Shen yu Shen',N/A,"['Action', 'Sci-Fi']",10,216,"{10: 4, 9: 1, 8: 5, 7: 12, 6: 6, 5: 2, 4: 2, 3: 3, 2: 3, 1: 5}"
48750,15003,b'Chao Shen Xueyuan: Zhi Hei Jia',N/A,"['Action', 'Sci-Fi']",10,245,"{10: 5, 9: 1, 8: 5, 7: 12, 6: 8, 5: 4, 4: 2, 3: 1, 2: 3, 1: 9}"
48749,15002,b'Chao Shen Xueyuan: Shen yu Shen',N/A,"['Action', 'Sci-Fi']",10,216,"{10: 4, 9: 1, 8: 5, 7: 12, 6: 6, 5: 2, 4: 2, 3: 3, 2: 3, 1: 5}"
48750,15003,b'Chao Shen Xueyuan: Zhi Hei Jia',N/A,"['Action', 'Sci-Fi']",10,245,"{10: 5, 9: 1, 8: 5, 7: 12, 6: 8, 5: 4, 4: 2, 3: 1, 2: 3, 1: 9}"
48749,15002,b'Chao Shen Xueyuan: Shen yu Shen',N/A,"['Action', 'Sci-Fi']",10,216,"{10: 4, 9: 1, 8: 5, 7: 12, 6: 6, 5: 2, 4: 2, 3: 3, 2: 3, 1: 5}"
48750,15003,b'Chao Shen Xueyuan: Zhi Hei Jia',N/A,"['Action', 'Sci-Fi']",10,245,"{10: 5, 9: 1, 8: 5, 7: 12, 6: 8, 5: 4, 4: 2, 3: 1, 2: 3, 1: 9}"
48749,15002,b'Chao Shen Xueyuan: Shen yu Shen',N/A,"['Action', 'Sci-Fi']",10,216,"{10: 4, 9: 1, 8: 5, 7: 12, 6: 6, 5: 2, 4: 2, 3: 3, 2: 3, 1: 5}"
48750,15003,b'Chao Shen Xueyuan: Zhi Hei Jia',N/A,"['Action', 'Sci-Fi']",10,245,"{10: 5, 9: 1, 8: 5, 7: 12, 6: 8, 5: 4, 4: 2, 3: 1, 2: 3, 1: 9}"
35691,15012,b'Chao Wa Zhanshi',N/A,"['Action', 'Sci-Fi', 'Mecha', 'Military', 'Space']",1,265,"{10: 6, 9: 0, 8: 2, 7: 5, 6: 8, 5: 8, 4: 7, 3: 8, 2: 4, 1: 8}"
38312,15013,b'Chao Wa Zhanshi: Weiwu Jiaoguan',N/A,"['Action', 'Sci-Fi', 'Mecha', 'Military', 'Space']",1,246,"{10: 6, 9: 0, 8: 0, 7: 5, 6: 8, 5: 4, 4: 1, 3: 3, 2: 4, 1: 12}"
44741,15014,b'Chao Wa Zhanshi: Xingji Jiayuan',N/A,"['Action', 'Sci-Fi', 'Military', 'Space']",25,69,"{10: 2, 9: 0, 8: 0, 7: 0, 6: 1, 5: 1, 4: 1, 3: 0, 2: 0, 1: 3}"
44032,15015,b'Chao Xian Lie Bing-kai Neng',N/A,"['Action', 'Sci-Fi', 'Mecha', 'Military']",26,74,"{10: 0, 9: 0, 8: 0, 7: 0, 6: 1, 5: 0, 4: 1, 3: 0, 2: 0, 1: 0}"
44033,15016,b'Chao Xian Lie Bing-kai Neng 2nd Season',N/A,"['Action', 'Adventure', 'Mecha', 'Military']",26,58,"{10: 1, 9: 0, 8: 0, 7: 0, 6: 1, 5: 0, 4: 1, 3: 0, 2: 0, 1: 0}"
47612,15017,b'Chao Zhi Neng Zu Qiu 2: Shijie Dasai Pian',N/A,"['Sports', 'Team Sports']",52,272,"{10: 13, 9: 9, 8: 17, 7: 18, 6: 25, 5: 9, 4: 4, 3: 3, 2: 1, 1: 4}"
48102,15018,b'Chaofan Chong Chong Dui',N/A,"['Adventure', 'Kids']",26,82,"{10: 2, 9: 0, 8: 0, 7: 0, 6: 2, 5: 0, 4: 0, 3: 0, 2: 0, 1: 6}"
46507,15019,b'Chaohu Chuanshuo',N/A,"['Adventure', 'Historical', 'Kids']",11,53,"{10: 1, 9: 0, 8: 0, 7: 1, 6: 2, 5: 0, 4: 0, 3: 0, 2: 0, 1: 2}"
46430,15020,b'Chaoji Da Lotto',N/A,"['Comedy', 'Kids']",325,45,"{10: 2, 9: 0, 8: 0, 7: 0, 6: 1, 5: 1, 4: 1, 3: 0, 2: 0, 1: 1}"
52062,15021,b'Chaoji Fangchengshi',N/A,['Racing'],20,64,"{10: 0, 9: 0, 8: 0, 7: 0, 6: 1, 5: 1, 4: 1, 3: 1, 2: 2, 1: 1}"
52063,15022,b'Chaoji Fangchengshi 2nd Season',N/A,['Racing'],18,57,"{10: 0, 9: 0, 8: 0, 7: 0, 6: 1, 5: 1, 4: 1, 3: 1, 2: 1, 1: 1}"
48051,15023,b'Chaoji Fei Xia: Kan Zhong Guo',N/A,['Kids'],12,77,"{10: 0, 9: 1, 8: 0, 7: 0, 6: 2, 5: 2, 4: 0, 3: 0, 2: 0, 1: 1}"
48020,15024,b'Chaoji Gongcheng Xiao Fendui',N/A,['Kids'],11,68,"{10: 1, 9: 0, 8: 0, 7: 0, 6: 3, 5: 1, 4: 0, 3: 0, 2: 0, 1: 1}"
46710,15025,b'Chaoji Pipico',N/A,['Kids'],52,41,"{10: 2, 9: 0, 8: 0, 7: 0, 6: 1, 5: 0, 4: 1, 3: 0, 2: 0, 1: 1}"
52210,15026,b'Chaoji Qiumi',N/A,"['Comedy', 'Sports', 'Team Sports']",26,61,"{10: 2, 9: 0, 8: 0, 7: 0, 6: 3, 5: 2, 4: 0, 3: 0, 2: 0, 1: 1}"
47541,15027,b'Chaoji Xiaoxiong BOOMi',N/A,"['Fantasy', 'Kids']",52,58,"{10: 2, 9: 0, 8: 0, 7: 0, 6: 3, 5: 1, 4: 0, 3: 0, 2: 0, 1: 1}"
47684,15028,b'Chaoji Yi Zi',N/A,['Kids'],52,42,"{10: 2, 9: 0, 8: 0, 7: 0, 6: 0, 5: 1, 4: 1, 3: 0, 2: 0, 1: 1}"
44947,15029,b'Chaoji Youeryuan',N/A,['Kids'],1,55,"{10: 1, 9: 0, 8: 0, 7: 0, 6: 2, 5: 1, 4: 0, 3: 0, 2: 0, 1: 2}"
46254,15030,b'Chaoji YoYo',N/A,"['Fantasy', 'Anthropomorphic', 'Kids']",100,49,"{10: 2, 9: 0, 8: 0, 7: 0, 6: 1, 5: 1, 4: 1, 3: 0, 2: 0, 1: 1}"
45934,15031,b'Chaonu Wawa',N/A,['Kids'],160,44,"{10: 2, 9: 0, 8: 0, 7: 0, 6: 1, 5: 0, 4: 1, 3: 0, 2: 0, 1: 1}"
51803,15032,b'Chaplin to Coogan',N/A,"['Comedy', 'Parody']",1,80,"{10: 0, 9: 0, 8: 0, 7: 0, 6: 4, 5: 4, 4: 3, 3: 3, 2: 1, 1: 5}"
37428,15033,b'Chara to Otamajakushi Shima',N/A,"['Adventure', 'Fantasy', 'Kids']",40,284,"{10: 12, 9: 1, 8: 2, 7: 1, 6: 4, 5: 4, 4: 1, 3: 2, 2: 5, 1: 15}"
30959,15034,b'Charamaru-kun to Dokumaru-kun',N/A,"['Super Power', 'Kids']",1,186,"{10: 10, 9: 0, 8: 0, 7: 5, 6: 3, 5: 1, 4: 3, 3: 0, 2: 1, 1: 5}"
33388,15035,b'Charanpo Land no Bouken',N/A,[],1,507,"{10: 4, 9: 0, 8: 1, 7: 2, 6: 13, 5: 11, 4: 3, 3: 5, 2: 1, 1: 7}"
52103,15036,b'Charmmy Kitty',N/A,"['Pets', 'Kids']",3,111,"{10: 2, 9: 0, 8: 0, 7: 3, 6: 4, 5: 1, 4: 1, 3: 1, 2: 2, 1: 2}"
47750,15037,b'Chawa Chuanqi',N/A,"['Fantasy', 'Kids']",52,40,"{10: 2, 9: 0, 8: 0, 7: 0, 6: 3, 5: 0, 4: 0, 3: 0, 2: 0, 1: 1}"
35345,15038,b'Chein Kuro-Nikuru!! Kanketsu-hen',N/A,"['Comedy', 'Parody']",1,374,"{10: 6, 9: 1, 8: 1, 7: 9, 6: 8, 5: 27, 4: 9, 3: 4, 2: 7, 1: 12}"
30228,15039,b'Chel-in sacheon-wang',N/A,"['Action', 'Sci-Fi']",1,265,"{10: 4, 9: 0, 8: 1, 7: 4, 6: 3, 5: 14, 4: 1, 3: 3, 2: 5, 1: 15}"
47291,15040,b'Cheng Chang Bu Fannao',N/A,['Kids'],36,42,"{10: 2, 9: 0, 8: 0, 7: 0, 6: 1, 5: 1, 4: 0, 3: 0, 2: 0, 1: 1}"
48085,15041,b'Chengshi Jiyi Wo Men de Jieri',N/A,['Kids'],7,66,"{10: 0, 9: 0, 8: 0, 7: 1, 6: 1, 5: 1, 4: 0, 3: 0, 2: 1, 1: 1}"
45945,15042,b'Chengshi Yezhan Pai',N/A,"['Adventure', 'Kids']",26,46,"{10: 1, 9: 0, 8: 0, 7: 0, 6: 3, 5: 0, 4: 1, 3: 0, 2: 0, 1: 1}"
9868,15043,b'Chengyu Donghua Lang',N/A,"['Historical', 'Kids']",180,377,"{10: 7, 9: 3, 8: 7, 7: 14, 6: 12, 5: 16, 4: 8, 3: 7, 2: 3, 1: 20}"
47658,15044,b'Chengzhang Zhe Dongxi',N/A,['Kids'],52,49,"{10: 2, 9: 0, 8: 0, 7: 0, 6: 1, 5: 0, 4: 1, 3: 0, 2: 0, 1: 2}"
47659,15045,b'Chengzhang Zhe Dongxi 2nd Season',N/A,['Kids'],52,39,"{10: 2, 9: 0, 8: 0, 7: 0, 6: 0, 5: 0, 4: 1, 3: 0, 2: 0, 1: 1}"
46698,15046,b'Chengzi Gushi',N/A,['Kids'],12,67,"{10: 0, 9: 0, 8: 0, 7: 0, 6: 2, 5: 0, 4: 0, 3: 0, 2: 0, 1: 2}"
46952,15047,b'Chenjiageng De Gushi',N/A,['Historical'],13,35,"{10: 1, 9: 0, 8: 0, 7: 1, 6: 0, 5: 0, 4: 0, 3: 0, 2: 0, 1: 0}"
16558,15048,b'Cheol-in 007',N/A,"['Action', 'Sci-Fi', 'Mecha']",1,301,"{10: 3, 9: 1, 8: 5, 7: 3, 6: 6, 5: 15, 4: 11, 3: 6, 2: 15, 1: 16}"
18271,15049,b'Cheorin Samchongsa',N/A,"['Action', 'Sci-Fi', 'Mecha', 'Space']",1,411,"{10: 2, 9: 2, 8: 4, 7: 6, 6: 8, 5: 15, 4: 18, 3: 4, 2: 14, 1: 28}"
52247,15050,b'Cherry & Berry',N/A,"['Educational', 'Visual Arts', 'Kids']",1,110,"{10: 1, 9: 0, 8: 0, 7: 2, 6: 8, 5: 7, 4: 8, 3: 1, 2: 2, 1: 6}"
26237,15051,b'Cherry Blossom',N/A,"['Drama', 'Kids']",1,267,"{10: 7, 9: 0, 8: 5, 7: 6, 6: 4, 5: 2, 4: 2, 3: 0, 2: 1, 1: 5}"
46896,15052,b'Chi Chi de Mimi Riji',N/A,['Kids'],26,50,"{10: 2, 9: 0, 8: 0, 7: 0, 6: 1, 5: 0, 4: 0, 3: 0, 2: 0, 1: 1}"
46897,15053,b'Chi Chi de Mimi Riji 2nd Season',N/A,['Kids'],26,47,"{10: 2, 9: 0, 8: 0, 7: 0, 6: 0, 5: 0, 4: 0, 3: 0, 2: 0, 1: 1}"
45147,15054,b'Chi Ji Da Zuozhan',N/A,"['Comedy', 'Parody']",14,50,"{10: 0, 9: 0, 8: 0, 7: 0, 6: 3, 5: 0, 4: 0, 3: 0, 2: 0, 1: 2}"
45148,15055,b'Chi Ji Da Zuozhan 2nd Season',N/A,"['Comedy', 'Parody']",20,49,"{10: 0, 9: 0, 8: 0, 7: 0, 6: 4, 5: 0, 4: 0, 3: 0, 2: 0, 1: 2}"
45149,15056,b'Chi Ji Da Zuozhan 3rd Season',N/A,"['Comedy', 'Parody']",24,54,"{10: 1, 9: 0, 8: 0, 7: 0, 6: 4, 5: 0, 4: 0, 3: 0, 2: 0, 1: 2}"
30060,15057,b'Chi Jian Chuanqi',N/A,"['Action', 'Adventure', 'Fantasy']",26,257,"{10: 7, 9: 1, 8: 0, 7: 1, 6: 4, 5: 7, 4: 2, 3: 1, 2: 5, 1: 14}"
49432,15058,b'Chi Yan Jinyiwei',N/A,['Fantasy'],24,689,"{10: 8, 9: 4, 8: 8, 7: 14, 6: 11, 5: 4, 4: 2, 3: 1, 2: 1, 1: 0}"
8025,15059,b'Chi-Sui Maru',N/A,['Comedy'],41,576,"{10: 7, 9: 2, 8: 5, 7: 8, 6: 11, 5: 26, 4: 19, 3: 10, 2: 4, 1: 9}"
11733,15060,b'Chi-Sui Maru 2nd Season',N/A,['Comedy'],34,377,"{10: 5, 9: 0, 8: 0, 7: 5, 6: 9, 5: 8, 4: 11, 3: 1, 2: 3, 1: 7}"
11731,15061,b'Chi-Sui Maru Specials',N/A,['Comedy'],2,285,"{10: 4, 9: 0, 8: 2, 7: 6, 6: 6, 5: 14, 4: 3, 3: 6, 2: 2, 1: 7}"
37647,15062,b'Chibi Airin no Yuruyaka na Nichijou',N/A,"['Comedy', 'Slice of Life']",24,346,"{10: 6, 9: 6, 8: 7, 7: 12, 6: 9, 5: 8, 4: 1, 3: 4, 2: 0, 1: 8}"
38820,15063,b'Chibi Godzilla',N/A,['Kids'],3,330,"{10: 6, 9: 0, 8: 0, 7: 5, 6: 20, 5: 30, 4: 9, 3: 8, 2: 1, 1: 18}"
54644,15064,b'Chibi Godzilla no Gyakushuu',N/A,"['Fantasy', 'Kids']",?,393,"{10: 4, 9: 0, 8: 3, 7: 4, 6: 5, 5: 3, 4: 1, 3: 0, 2: 0, 1: 1}"
39353,15065,b'Chibi Maruko-chan no Konna Nori Kata Abunai yo',N/A,['Kids'],1,203,"{10: 6, 9: 0, 8: 3, 7: 6, 6: 4, 5: 8, 4: 1, 3: 3, 2: 0, 1: 6}"
39354,15066,b'Chibi Maruko-chan no Koutsuu Anzen',N/A,"['Educational', 'Kids']",1,220,"{10: 6, 9: 0, 8: 4, 7: 4, 6: 8, 5: 8, 4: 1, 3: 2, 2: 0, 1: 6}"
52307,15067,b'Chibi Maruko-chan Pilot Film',N/A,"['Slice of Life', 'Shoujo']",1,108,"{10: 2, 9: 0, 8: 1, 7: 4, 6: 4, 5: 17, 4: 4, 3: 2, 2: 0, 1: 5}"
35125,15068,b'Chibi Maruko-chan: Hi no Youjin',N/A,"['Drama', 'Educational', 'Kids']",1,288,"{10: 11, 9: 0, 8: 3, 7: 7, 6: 8, 5: 13, 4: 3, 3: 3, 2: 1, 1: 8}"
35126,15069,b'Chibi Maruko-chan: Jishin wo Kangaeru',N/A,"['Drama', 'Educational', 'Kids']",1,278,"{10: 7, 9: 2, 8: 3, 7: 7, 6: 8, 5: 13, 4: 3, 3: 4, 2: 0, 1: 8}"
27855,15070,b'Chibi Neko Chobi/Chibi Neko Kobi to Tomodachi',N/A,['Kids'],1,229,"{10: 4, 9: 0, 8: 2, 7: 10, 6: 5, 5: 4, 4: 2, 3: 3, 2: 1, 1: 6}"
17657,15071,b'Chibi Neko Tomu no Daibouken: Chikyuu wo Sukue! Nakama-tachi',N/A,"['Adventure', 'Kids']",1,335,"{10: 3, 9: 1, 8: 6, 7: 4, 6: 12, 5: 5, 4: 3, 3: 1, 2: 1, 1: 8}"
53403,15072,"b'Chibiham, Juicy & Me'",N/A,['Comedy'],1,143,"{10: 2, 9: 0, 8: 0, 7: 1, 6: 0, 5: 3, 4: 0, 3: 1, 2: 3, 1: 2}"
8501,15073,b'Chibikko Kaijuu Yadamon',N/A,"['Comedy', 'Supernatural', 'Kids']",26,480,"{10: 9, 9: 1, 8: 10, 7: 9, 6: 14, 5: 18, 4: 7, 3: 6, 2: 3, 1: 12}"
24923,15074,b'Chibikko Kamu no Bouken',N/A,"['Adventure', 'Kids']",1,267,"{10: 8, 9: 0, 8: 1, 7: 5, 6: 3, 5: 5, 4: 2, 3: 2, 2: 2, 1: 6}"
29947,15075,b'Chibikuro Sambo no Tora Taiji',N/A,['Kids'],1,359,"{10: 11, 9: 3, 8: 1, 7: 3, 6: 8, 5: 9, 4: 5, 3: 2, 2: 2, 1: 9}"
29948,15076,b'Chibikuro Sambo to Futago no Otouto',N/A,['Kids'],1,325,"{10: 9, 9: 1, 8: 2, 7: 7, 6: 10, 5: 7, 4: 3, 3: 1, 2: 0, 1: 10}"
32417,15077,b'Chibinacs',N/A,['Comedy'],25,241,"{10: 9, 9: 0, 8: 1, 7: 3, 6: 3, 5: 8, 4: 1, 3: 5, 2: 1, 1: 10}"
32418,15078,b'Chibinacs 2.0',N/A,['Comedy'],25,232,"{10: 5, 9: 0, 8: 6, 7: 2, 6: 3, 5: 8, 4: 4, 3: 6, 2: 0, 1: 11}"
32419,15079,b'Chibinacs 3',N/A,['Comedy'],25,239,"{10: 5, 9: 0, 8: 0, 7: 7, 6: 3, 5: 6, 4: 5, 3: 5, 2: 0, 1: 11}"
33862,15080,b'Chichi Kaeru',N/A,['Drama'],1,252,"{10: 4, 9: 0, 8: 0, 7: 6, 6: 17, 5: 18, 4: 9, 3: 9, 2: 4, 1: 19}"
31129,15081,b'Chichi to Ko',N/A,['Drama'],1,195,"{10: 3, 9: 0, 8: 8, 7: 7, 6: 8, 5: 5, 4: 0, 3: 2, 2: 0, 1: 4}"
47623,15082,b'Chickip Dancers',N/A,['Slice of Life'],26,930,"{10: 14, 9: 2, 8: 1, 7: 6, 6: 6, 5: 4, 4: 7, 3: 3, 2: 2, 1: 8}"
53320,15083,b'Chickip Dancers 2nd Season',N/A,['Slice of Life'],26,314,"{10: 3, 9: 0, 8: 0, 7: 0, 6: 4, 5: 5, 4: 3, 3: 2, 2: 2, 1: 3}"
51802,15084,b'Chidori no Kyoku',N/A,['Avant Garde'],1,93,"{10: 1, 9: 0, 8: 1, 7: 2, 6: 3, 5: 9, 4: 7, 3: 5, 2: 5, 1: 9}"
9383,15085,b'Chie-chan Funsenki: Jarinko Chie',N/A,"['Comedy', 'Drama', 'Seinen']",39,515,"{10: 15, 9: 12, 8: 15, 7: 22, 6: 6, 5: 12, 4: 3, 3: 3, 2: 7, 1: 12}"
31236,15086,b'Chieri to Cherry',N/A,"['Adventure', 'Fantasy', 'Shoujo']",1,612,"{10: 4, 9: 12, 8: 9, 7: 20, 6: 21, 5: 11, 4: 9, 3: 0, 2: 3, 1: 10}"
46914,15087,b'Chifan Shuijiao Da Dou Dou',N/A,"['Comedy', 'Anthropomorphic']",21,50,"{10: 0, 9: 0, 8: 0, 7: 0, 6: 5, 5: 1, 4: 1, 3: 0, 2: 0, 1: 2}"
46915,15088,b'Chifan Shuijiao Da Dou Dou: Dou Te Me Hei',N/A,"['Comedy', 'Anthropomorphic']",20,52,"{10: 0, 9: 0, 8: 0, 7: 0, 6: 5, 5: 1, 4: 1, 3: 0, 2: 0, 1: 2}"
46916,15089,b'Chifan Shuijiao Da Dou Dou: Shenjing Dou',N/A,"['Comedy', 'Anthropomorphic']",11,53,"{10: 1, 9: 0, 8: 0, 7: 0, 6: 5, 5: 1, 4: 1, 3: 0, 2: 1, 1: 2}"
45056,15090,b'Chihuo Yuzhou',N/A,"['Adventure', 'Fantasy', 'Anthropomorphic', 'Kids']",1,69,"{10: 1, 9: 0, 8: 1, 7: 0, 6: 7, 5: 0, 4: 3, 3: 0, 2: 0, 1: 2}"
33831,15091,b'Chii-chan no Kageokuri',N/A,"['Drama', 'Historical']",1,183,"{10: 5, 9: 0, 8: 1, 7: 1, 6: 2, 5: 3, 4: 3, 3: 1, 2: 4, 1: 5}"
