id,rank,title,score,genre,episodes,members,rating
8150,10002,b'Gegege no Kitarou: Chisougan',5.71,"['Adventure', 'Comedy', 'Fantasy', 'Horror', 'Supernatural']",1,"1,018","{10: 9, 9: 9, 8: 23, 7: 53, 6: 78, 5: 68, 4: 29, 3: 12, 2: 8, 1: 20}"
35286,10003,b'Henkei Shoujo',5.71,['Sci-Fi'],5,"27,173","{10: 2060, 9: 323, 8: 606, 7: 1126, 6: 1653, 5: 1968, 4: 1175, 3: 883, 2: 760, 1: 961}"
35628,10004,b'Honoo no Alpenrose: Ai no Symphony Ongaku-hen',5.71,"['Drama', 'Romance', 'Historical', 'Music', 'Shoujo']",1,511,"{10: 121, 9: 1, 8: 1, 7: 12, 6: 9, 5: 19, 4: 8, 3: 2, 2: 3, 1: 9}"
6071,10005,b'Juuippiki no Neko',5.71,['Fantasy'],1,925,"{10: 10, 9: 10, 8: 23, 7: 24, 6: 52, 5: 46, 4: 46, 3: 11, 2: 6, 1: 16}"
52562,10006,"b'Kanojo, Okarishimasu Petit 2nd Season'",5.71,['Comedy'],12,"3,595","{10: 80, 9: 20, 8: 50, 7: 76, 6: 193, 5: 183, 4: 59, 3: 44, 2: 26, 1: 36}"
49780,10007,b'Atasha Kawashiri Kodama da yo: Dangerous Lifehacker no Tadareta Seikatsu',5.70,['Comedy'],24,"8,054","{10: 162, 9: 105, 8: 225, 7: 462, 6: 744, 5: 717, 4: 378, 3: 201, 2: 147, 1: 128}"
37584,10008,b'Bakumatsu',5.70,"['Action', 'Historical', 'Samurai']",12,"23,373","{10: 156, 9: 138, 8: 377, 7: 805, 6: 1077, 5: 1049, 4: 697, 3: 418, 2: 210, 1: 162}"
10039,10009,b'Chinpui Specials',5.70,['Comedy'],2,390,"{10: 8, 9: 1, 8: 6, 7: 19, 6: 29, 5: 23, 4: 13, 3: 10, 2: 3, 1: 10}"
8490,10010,b'Digimon Adventure 3D: Digimon Grand Prix!',5.70,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sports', 'Parody', 'Kids']",1,"8,287","{10: 269, 9: 150, 8: 307, 7: 569, 6: 746, 5: 698, 4: 381, 3: 212, 2: 178, 1: 163}"
30453,10011,b'Dr. Slump: Arale-chan Ayaya!? Penguin Mura de TV Jack',5.70,"['Comedy', 'Sci-Fi', 'Gag Humor', 'Shounen']",1,892,"{10: 7, 9: 10, 8: 9, 7: 18, 6: 50, 5: 52, 4: 12, 3: 9, 2: 5, 1: 18}"
23409,10012,b'Duel Masters VS',5.70,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']",49,"1,181","{10: 29, 9: 13, 8: 22, 7: 34, 6: 55, 5: 48, 4: 18, 3: 23, 2: 15, 1: 20}"
36166,10013,b'Fireball Humorous',5.70,"['Comedy', 'Sci-Fi']",3,"3,399","{10: 61, 9: 26, 8: 103, 7: 217, 6: 290, 5: 209, 4: 101, 3: 79, 2: 46, 1: 52}"
8493,10014,b'Gegege no Kitarou: Kitarou no Yuurei Densha',5.70,"['Adventure', 'Supernatural', 'Mythology', 'Super Power']",1,867,"{10: 11, 9: 8, 8: 14, 7: 30, 6: 34, 5: 31, 4: 22, 3: 12, 2: 7, 1: 18}"
24677,10015,b'Gegege no Kitarou: Kitarou Tanjou-hen',5.70,['Supernatural'],1,508,"{10: 7, 9: 4, 8: 9, 7: 22, 6: 21, 5: 23, 4: 14, 3: 6, 2: 5, 1: 11}"
22455,10016,b'Hello Kitty no Circus ga Yatte Kita',5.70,"['Fantasy', 'Kids']",1,499,"{10: 16, 9: 3, 8: 10, 7: 24, 6: 39, 5: 22, 4: 8, 3: 11, 2: 11, 1: 7}"
17953,10017,b'Hello Kitty no London ni Orita Uchuujin',5.70,['Kids'],1,443,"{10: 13, 9: 5, 8: 4, 7: 20, 6: 23, 5: 21, 4: 11, 3: 14, 2: 6, 1: 7}"
3390,10018,b'Hoshi no Umi no Amuri',5.70,"['Adventure', 'Fantasy', 'Sci-Fi']",3,"3,501","{10: 38, 9: 52, 8: 118, 7: 186, 6: 190, 5: 178, 4: 131, 3: 71, 2: 47, 1: 47}"
1220,10019,b'Hoshizora Kiseki',5.70,"['Romance', 'Sci-Fi']",1,"11,749","{10: 84, 9: 150, 8: 431, 7: 918, 6: 1200, 5: 1015, 4: 548, 3: 316, 2: 163, 1: 64}"
9172,10020,b'Kaitei Sanman Mile',5.70,"['Adventure', 'Fantasy']",1,901,"{10: 13, 9: 16, 8: 21, 7: 37, 6: 82, 5: 58, 4: 44, 3: 24, 2: 9, 1: 8}"
32816,10021,b'Teekyuu 6 Specials',5.70,"['Comedy', 'Sports', 'Shounen']",2,"3,896","{10: 74, 9: 49, 8: 105, 7: 301, 6: 437, 5: 383, 4: 185, 3: 82, 2: 49, 1: 55}"
9794,10022,b'Tono to Issho 1.5',5.70,"['Comedy', 'Historical', 'Parody', 'Samurai', 'Seinen']",1,770,"{10: 15, 9: 5, 8: 14, 7: 44, 6: 49, 5: 40, 4: 26, 3: 16, 2: 7, 1: 10}"
7248,10023,b'Top wo Nerae! Gunbuster Specials',5.70,"['Mecha', 'Space']",3,"6,439","{10: 76, 9: 56, 8: 164, 7: 410, 6: 659, 5: 669, 4: 215, 3: 120, 2: 72, 1: 43}"
38667,10024,"b""W'z: Hand Shakers with W'z""",5.70,"['Action', 'Music']",1,"2,754","{10: 51, 9: 31, 8: 68, 7: 143, 6: 176, 5: 142, 4: 58, 3: 48, 2: 58, 1: 43}"
37387,10025,b'Wata no Kuni Hoshi Pilot',5.70,"['Fantasy', 'Pets', 'Shoujo']",1,654,"{10: 12, 9: 1, 8: 9, 7: 42, 6: 70, 5: 49, 4: 16, 3: 10, 2: 5, 1: 14}"
30985,10026,b'Yamakoshi Mura no Mari to Sanbiki no Koinu',5.70,"['Drama', 'Kids']",1,443,"{10: 7, 9: 4, 8: 5, 7: 12, 6: 20, 5: 55, 4: 9, 3: 7, 2: 3, 1: 7}"
17871,10027,b'Yonhyaku-nijuu Renpai Girl',5.70,"['Comedy', 'Romance', 'School']",1,"5,736","{10: 118, 9: 61, 8: 148, 7: 364, 6: 464, 5: 498, 4: 182, 3: 104, 2: 87, 1: 80}"
7625,10028,b'Yousei Dick',5.70,"['Fantasy', 'Kids']",26,691,"{10: 35, 9: 5, 8: 10, 7: 16, 6: 7, 5: 16, 4: 9, 3: 10, 2: 44, 1: 13}"
50607,10029,b'Yu\xe2\x98\x86Gi\xe2\x98\x86Oh! Go Rush!!',5.70,"['Action', 'Fantasy', 'Strategy Game']",?,"4,866","{10: 95, 9: 44, 8: 54, 7: 98, 6: 142, 5: 127, 4: 59, 3: 41, 2: 49, 1: 72}"
12767,10030,b'Yuusei Kamen',5.70,['Sci-Fi'],39,646,"{10: 13, 9: 6, 8: 6, 7: 11, 6: 19, 5: 33, 4: 8, 3: 44, 2: 6, 1: 13}"
17987,10031,b'Kero Kero Keroppi no Robin Hood',5.70,"['Fantasy', 'Kids']",1,512,"{10: 15, 9: 3, 8: 13, 7: 22, 6: 33, 5: 34, 4: 18, 3: 9, 2: 4, 1: 12}"
